Country Name,Indicator Name,2016,2017,2018
Mauritius,"Population, total"," 1,263,473 "," 1,264,613 "," 1,265,303 "
Malawi,"Population, total"," 17,205,289 "," 17,670,260 "," 18,143,315 "
Malaysia,"Population, total"," 30,684,804 "," 31,105,028 "," 31,528,585 "
North America,"Population, total"," 359,245,384 "," 361,751,263 "," 364,290,258 "
Namibia,"Population, total"," 2,358,041 "," 2,402,603 "," 2,448,255 "
New Caledonia,"Population, total"," 276,550 "," 280,350 "," 284,060 "
Niger,"Population, total"," 20,788,838 "," 21,602,472 "," 22,442,948 "
Nigeria,"Population, total"," 185,960,289 "," 190,873,311 "," 195,874,740 "
Nicaragua,"Population, total"," 6,303,974 "," 6,384,855 "," 6,465,513 "
Netherlands,"Population, total"," 17,030,314 "," 17,131,296 "," 17,231,017 "
Norway,"Population, total"," 5,234,519 "," 5,276,968 "," 5,314,336 "
Nepal,"Population, total"," 27,261,131 "," 27,627,124 "," 28,087,871 "
Nauru,"Population, total"," 13,049 "," 12,876 "," 12,704 "
New Zealand,"Population, total"," 4,693,200 "," 4,793,900 "," 4,885,500 "
OECD members,"Population, total"," 1,288,747,101 "," 1,296,225,760 "," 1,303,529,456 "
Oman,"Population, total"," 4,479,219 "," 4,665,935 "," 4,829,483 "
Other small states,"Population, total"," 29,542,879 "," 30,148,800 "," 30,758,989 "
Pakistan,"Population, total"," 203,627,284 "," 207,896,686 "," 212,215,030 "
Panama,"Population, total"," 4,037,078 "," 4,106,771 "," 4,176,873 "
Peru,"Population, total"," 30,926,032 "," 31,444,297 "," 31,989,256 "
Philippines,"Population, total"," 103,663,927 "," 105,173,264 "," 106,651,922 "
Palau,"Population, total"," 17,725 "," 17,808 "," 17,907 "
Papua New Guinea,"Population, total"," 8,271,760 "," 8,438,029 "," 8,606,316 "
Poland,"Population, total"," 37,970,087 "," 37,974,826 "," 37,978,548 "
Pre-demographic dividend,"Population, total"," 869,943,914 "," 894,512,725 "," 919,485,393 "
Puerto Rico,"Population, total"," 3,406,495 "," 3,325,001 "," 3,195,153 "
"Korea, Dem. People’s Rep.","Population, total"," 25,307,744 "," 25,429,985 "," 25,549,819 "
Portugal,"Population, total"," 10,325,452 "," 10,300,300 "," 10,281,762 "
Paraguay,"Population, total"," 6,777,872 "," 6,867,062 "," 6,956,071 "
West Bank and Gaza,"Population, total"," 4,367,088 "," 4,454,805 "," 4,569,087 "
Pacific island small states,"Population, total"," 2,388,307 "," 2,422,086 "," 2,457,367 "
Post-demographic dividend,"Population, total"," 1,101,992,071 "," 1,106,035,186 "," 1,109,997,273 "
French Polynesia,"Population, total"," 274,575 "," 276,103 "," 277,679 "
Qatar,"Population, total"," 2,654,374 "," 2,724,724 "," 2,781,677 "
Romania,"Population, total"," 19,702,332 "," 19,587,491 "," 19,473,936 "
Russian Federation,"Population, total"," 144,342,396 "," 144,496,740 "," 144,478,050 "
Rwanda,"Population, total"," 11,668,818 "," 11,980,937 "," 12,301,939 "
South Asia,"Population, total"," 1,771,167,194 "," 1,792,835,608 "," 1,814,388,744 "
Saudi Arabia,"Population, total"," 32,442,572 "," 33,099,147 "," 33,699,947 "
Sudan,"Population, total"," 39,847,440 "," 40,813,396 "," 41,801,533 "
Senegal,"Population, total"," 14,993,528 "," 15,419,381 "," 15,854,360 "
Singapore,"Population, total"," 5,607,283 "," 5,612,253 "," 5,638,676 "
Solomon Islands,"Population, total"," 619,437 "," 636,038 "," 652,858 "
Sierra Leone,"Population, total"," 7,328,838 "," 7,488,431 "," 7,650,154 "
El Salvador,"Population, total"," 6,356,143 "," 6,388,122 "," 6,420,744 "
San Marino,"Population, total"," 33,504 "," 33,671 "," 33,785 "
Somalia,"Population, total"," 14,185,613 "," 14,589,119 "," 15,008,154 "
Serbia,"Population, total"," 7,058,322 "," 7,020,858 "," 6,982,084 "
Sub-Saharan Africa (excluding high income),"Population, total"," 1,022,431,864 "," 1,050,057,829 "," 1,078,209,758 "
South Sudan,"Population, total"," 10,832,512 "," 10,910,759 "," 10,975,920 "
Sub-Saharan Africa,"Population, total"," 1,022,526,541 "," 1,050,153,672 "," 1,078,306,520 "
Small states,"Population, total"," 39,200,572 "," 39,885,876 "," 40,575,321 "
Sao Tome and Principe,"Population, total"," 203,227 "," 207,089 "," 211,028 "
Suriname,"Population, total"," 564,888 "," 570,496 "," 575,991 "
Slovak Republic,"Population, total"," 5,430,798 "," 5,439,232 "," 5,447,011 "
Slovenia,"Population, total"," 2,065,042 "," 2,066,388 "," 2,067,372 "
Sweden,"Population, total"," 9,923,085 "," 10,057,698 "," 10,183,175 "
Eswatini,"Population, total"," 1,113,984 "," 1,124,753 "," 1,136,191 "
Sint Maarten (Dutch part),"Population, total"," 39,969 "," 40,574 "," 40,654 "
Seychelles,"Population, total"," 94,677 "," 95,843 "," 96,762 "
Syrian Arab Republic,"Population, total"," 17,453,933 "," 17,068,002 "," 16,906,283 "
Turks and Caicos Islands,"Population, total"," 36,559 "," 37,115 "," 37,665 "
Chad,"Population, total"," 14,561,666 "," 15,016,773 "," 15,477,751 "
East Asia & Pacific (IDA & IBRD countries),"Population, total"," 2,027,771,091 "," 2,042,687,863 "," 2,056,064,424 "
Europe & Central Asia (IDA & IBRD countries),"Population, total"," 455,505,650 "," 457,810,292 "," 459,865,205 "
Togo,"Population, total"," 7,509,952 "," 7,698,475 "," 7,889,094 "
Thailand,"Population, total"," 68,971,331 "," 69,209,858 "," 69,428,524 "
Tajikistan,"Population, total"," 8,663,579 "," 8,880,268 "," 9,100,837 "
Turkmenistan,"Population, total"," 5,662,372 "," 5,757,669 "," 5,850,908 "
Latin America & the Caribbean (IDA & IBRD countries),"Population, total"," 613,258,172 "," 619,460,244 "," 625,569,713 "
Timor-Leste,"Population, total"," 1,219,288 "," 1,243,261 "," 1,267,972 "
Middle East & North Africa (IDA & IBRD countries),"Population, total"," 365,909,373 "," 372,091,950 "," 378,327,628 "
Tonga,"Population, total"," 101,133 "," 101,998 "," 103,197 "
South Asia (IDA & IBRD),"Population, total"," 1,771,167,194 "," 1,792,835,608 "," 1,814,388,744 "
Sub-Saharan Africa (IDA & IBRD countries),"Population, total"," 1,022,526,541 "," 1,050,153,672 "," 1,078,306,520 "
Trinidad and Tobago,"Population, total"," 1,377,564 "," 1,384,072 "," 1,389,858 "
Tunisia,"Population, total"," 11,303,946 "," 11,433,443 "," 11,565,204 "
Turkey,"Population, total"," 79,821,724 "," 81,101,892 "," 82,319,724 "
Tuvalu,"Population, total"," 11,225 "," 11,370 "," 11,508 "
