Country Name,Indicator Name,2016,2017,2018
Russian Federation,GDP per capita (current US$),8745.375116,10750.58712,11288.87244
Rwanda,GDP per capita (current US$),726.353049,762.4991636,772.9678384
South Asia,GDP per capita (current US$),1648.678479,1867.272248,1905.76641
Saudi Arabia,GDP per capita (current US$),19879.29753,20803.74257,23219.13048
Sudan,GDP per capita (current US$),2398.10188,3015.02443,977.2736357
Senegal,GDP per capita (current US$),1269.040407,1367.218948,1521.953554
Singapore,GDP per capita (current US$),56724.17039,60297.79378,64581.94402
Solomon Islands,GDP per capita (current US$),1990.031497,2077.126038,2162.651804
Sierra Leone,GDP per capita (current US$),501.4157129,499.3807078,522.8581284
El Salvador,GDP per capita (current US$),3800.122181,3902.237622,4058.244652
Somalia,GDP per capita (current US$),295.9336538,309.066059,314.5623635
Serbia,GDP per capita (current US$),5756.381194,6284.192672,7233.995874
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),1510.048357,1598.050477,1572.86396
Sub-Saharan Africa,GDP per capita (current US$),1511.3049,1599.336187,1574.197871
Small states,GDP per capita (current US$),11298.81941,12125.16296,13202.51903
Sao Tome and Principe,GDP per capita (current US$),1710.133948,1811.009633,2001.140902
Suriname,GDP per capita (current US$),5606.712075,5379.119415,5950.213947
Slovak Republic,GDP per capita (current US$),16544.22781,17579.2594,19546.9019
Slovenia,GDP per capita (current US$),21617.57985,23449.57452,26234.0229
Sweden,GDP per capita (current US$),51617.54035,53253.47664,54111.97217
Eswatini,GDP per capita (current US$),3426.826597,3941.900457,4139.961949
Seychelles,GDP per capita (current US$),15077.83902,15683.6565,16433.93529
Turks and Caicos Islands,GDP per capita (current US$),25995.17246,25933.60744,27142.2278
Chad,GDP per capita (current US$),692.9785958,664.3033157,730.2446076
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),6623.978189,7156.320319,7902.849346
Europe & Central Asia (IDA & IBRD countries),GDP per capita (current US$),7648.518446,8516.291877,8788.47217
Togo,GDP per capita (current US$),587.8744094,619.066371,671.8406876
Thailand,GDP per capita (current US$),5978.611454,6578.188865,7273.563207
Tajikistan,GDP per capita (current US$),802.5180041,806.0415731,826.6215305
Turkmenistan,GDP per capita (current US$),6389.548408,6587.090316,6966.635411
Latin America & the Caribbean (IDA & IBRD countries),GDP per capita (current US$),8404.752742,9253.666484,8881.077105
Timor-Leste,GDP per capita (current US$),2053.273798,2000.601191,2035.533908
Tonga,GDP per capita (current US$),3966.15652,4217.476507,4364.015561
South Asia (IDA & IBRD),GDP per capita (current US$),1648.678479,1867.272248,1905.76641
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),1511.3049,1599.336187,1574.197871
Trinidad and Tobago,GDP per capita (current US$),15786.12052,16076.08204,16843.70161
Tunisia,GDP per capita (current US$),3698.565075,3494.318864,3446.607238
Turkey,GDP per capita (current US$),10820.63384,10499.74557,9311.366117
Tuvalu,GDP per capita (current US$),3255.894866,3572.608367,3700.710677
Tanzania,GDP per capita (current US$),966.4746224,1004.841121,1050.675254
Uganda,GDP per capita (current US$),608.7057351,631.5227198,643.1396702
Ukraine,GDP per capita (current US$),2187.731997,2640.675677,3095.173581
Upper middle income,GDP per capita (current US$),7921.734348,8663.27389,9200.453954
Uruguay,GDP per capita (current US$),15387.14403,16437.24487,17277.97011
United States,GDP per capita (current US$),57904.20196,59927.92983,62641.01457
Uzbekistan,GDP per capita (current US$),2567.799418,1826.56704,1532.371639
St. Vincent and the Grenadines,GDP per capita (current US$),7041.560804,7149.630866,7377.678832
Vietnam,GDP per capita (current US$),2192.214539,2365.621666,2563.820731
Vanuatu,GDP per capita (current US$),2830.965284,2976.107116,3033.408146
World,GDP per capita (current US$),10247.93623,10769.67711,11298.30371
Samoa,GDP per capita (current US$),4043.694,4307.805464,4392.467755
Kosovo,GDP per capita (current US$),3697.121677,3948.08815,4281.292329
"Yemen, Rep.",GDP per capita (current US$),1139.870568,963.494721,944.4084994
South Africa,GDP per capita (current US$),5272.627749,6127.462297,6374.015446
Zambia,GDP per capita (current US$),1280.578447,1534.865371,1539.900158
Zimbabwe,GDP per capita (current US$),1464.583529,1602.403507,2146.996385
